caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-26115-834779,Certified,,2026-05-01T00:00:00,"Anthropic, PBC",Member of Technical Staff (Software Security),15-1252.00,Software Developers,Y,213512,405000,Year,213512,Year,San Francisco,CA,94105,213512,FY2026_Q3
I-200-26117-838955,Certified - Withdrawn,,2026-05-22T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,187574,320000,Year,187574,Year,San Francisco,CA,94105,187574,FY2026_Q3
I-200-26117-839742,Certified,,2026-05-04T00:00:00,"Anthropic, PBC",Member of Technical Staff (Performance Engineer),15-1252.00,Software Developers,Y,213512,850000,Year,161637,Year,San Francisco,CA,94105,213512,FY2026_Q3
I-200-26117-839748,Certified,,2026-05-04T00:00:00,"Anthropic, PBC",Member of Technical Staff (Web Platform),15-1252.00,Software Developers,Y,189592,405000,Year,189592,Year,New York,NY,10013,189592,FY2026_Q3
I-200-26117-840396,Certified,,2026-05-04T00:00:00,"Anthropic, PBC",Member of Technical Staff (Applied AI),15-1252.00,Software Developers,Y,213512,300000,Year,161637,Year,San Francisco,CA,94105,213512,FY2026_Q3
I-200-26117-840412,Certified - Withdrawn,,2026-06-01T00:00:00,"Anthropic, PBC",Member of Technical Staff (Research Engineer),15-1252.00,Software Developers,Y,213512,500000,Year,213512,Year,San Francisco,CA,94105,213512,FY2026_Q3
I-200-26117-841233,Certified,,2026-05-04T00:00:00,"Anthropic, PBC",Member of Technical Staff (Big Machines),15-1221.00,Computer and Information Research Scientists,Y,209082,500000,Year,134139,Year,San Francisco,CA,94105,209082,FY2026_Q3
I-200-26117-841266,Certified,,2026-05-04T00:00:00,"Anthropic, PBC","Member of Technical Staff (Research Engineer, Tokens)",15-1252.00,Software Developers,Y,213512,350000,Year,187574,Year,San Francisco,CA,94105,213512,FY2026_Q3
I-200-26117-841371,Certified,,2026-05-04T00:00:00,"Anthropic, PBC",Member of Technical Staff (Machine Learning),15-1221.00,Computer and Information Research Scientists,Y,209082,350000,Year,134139,Year,San Francisco,CA,94105,209082,FY2026_Q3
I-200-26118-843376,Certified,,2026-05-05T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,213512,405000,Year,213512,Year,San Francisco,CA,94105,213512,FY2026_Q3
